date;TE0037;TE0038;TE0039;TE0040;TE0041;TE0042;TE0043;TE0044;TE0045;TE0046;TE0047;TE0048;TE1001;TE1002;TE1003;TE1004;TE0049;TE0050;TE0051;TE0052;TE0053;TE0054;TE0055;TE0056;TE0057;TE0058;TE0059;TE0060;PE0006;
1504335022;102.06000;103.69000;106.56000;118.24000;100.53000;103.06000;107.57000;118.43000;102.43000;104.14000;106.34000;119.26000;100.17000;102.73000;107.04000;118.20000;87.63100;87.54000;87.45800;87.44700;87.41000;87.45500;87.41700;87.37600;99.55700;110.23000;119.74000;129.17000;1000.70001;
1504335024;102.06000;103.69000;106.56000;118.24000;100.53000;103.06000;107.57000;118.43000;102.43000;104.14000;106.34000;119.26000;100.17000;102.73000;107.04000;118.20000;87.62400;87.53100;87.46200;87.45600;87.44600;87.46700;87.42000;87.40700;99.54000;110.22000;119.71000;129.16000;1000.70001;
1504335028;102.06000;103.69000;106.56000;118.24000;100.53000;103.06000;107.57000;118.43000;102.43000;104.14000;106.34000;119.26000;100.16000;102.69000;107.02000;118.18000;87.62400;87.53100;87.46200;87.45600;87.44600;87.46700;87.42000;87.40700;99.54000;110.22000;119.71000;129.16000;1000.50000;
1504335039;102.07000;103.71000;106.55000;118.22000;100.54000;103.04000;107.56000;118.40000;102.42000;104.13000;106.33000;119.24000;100.16000;102.69000;107.02000;118.18000;87.63100;87.52400;87.48400;87.47000;87.43800;87.46400;87.42000;87.40700;99.54000;110.22000;119.71000;129.16000;1000.50000;
1504335040;102.07000;103.71000;106.55000;118.22000;100.54000;103.04000;107.56000;118.40000;102.42000;104.13000;106.33000;119.24000;100.16000;102.69000;107.02000;118.18000;87.63100;87.52400;87.48400;87.47000;87.43800;87.46400;87.39000;87.37500;99.53000;110.20000;119.70000;129.16000;1000.50000;
1504335043;102.07000;103.71000;106.55000;118.22000;100.54000;103.04000;107.56000;118.40000;102.42000;104.13000;106.33000;119.24000;100.16000;102.68000;107.01000;118.16000;87.63100;87.52400;87.48400;87.47000;87.43800;87.46400;87.39000;87.37500;99.53000;110.20000;119.70000;129.16000;1000.50000;
1504335045;102.07000;103.71000;106.55000;118.22000;100.54000;103.04000;107.56000;118.40000;102.42000;104.13000;106.33000;119.24000;100.16000;102.68000;107.01000;118.16000;87.63100;87.52400;87.48400;87.47000;87.43800;87.46400;87.39000;87.37500;99.53000;110.20000;119.70000;129.16000;1000.20001;
1504335055;102.05000;103.69000;106.56000;118.19000;100.52000;103.03000;107.56000;118.37000;102.42000;104.14000;106.31000;119.23000;100.16000;102.68000;107.01000;118.16000;87.63200;87.54600;87.48400;87.46500;87.42400;87.46000;87.39000;87.37500;99.53000;110.20000;119.70000;129.16000;1000.20001;
1504335057;102.05000;103.69000;106.56000;118.19000;100.52000;103.03000;107.56000;118.37000;102.42000;104.14000;106.31000;119.23000;100.16000;102.68000;107.01000;118.16000;87.63200;87.54600;87.48400;87.46500;87.42400;87.46000;87.43100;87.39400;99.51500;110.16000;119.68000;129.13000;1000.20001;
1504335060;102.05000;103.69000;106.56000;118.19000;100.52000;103.03000;107.56000;118.37000;102.42000;104.14000;106.31000;119.23000;100.14000;102.67000;106.99000;118.14000;87.63200;87.54600;87.48400;87.46500;87.42400;87.46000;87.43100;87.39400;99.51500;110.16000;119.68000;129.13000;1000.20001;
1504335062;102.05000;103.69000;106.56000;118.19000;100.52000;103.03000;107.56000;118.37000;102.42000;104.14000;106.31000;119.23000;100.14000;102.67000;106.99000;118.14000;87.63200;87.54600;87.48400;87.46500;87.42400;87.46000;87.43100;87.39400;99.51500;110.16000;119.68000;129.13000;999.37000;
1504335073;102.03000;103.68000;106.54000;118.18000;100.53000;103.02000;107.52000;118.36000;102.42000;104.13000;106.32000;119.21000;100.14000;102.67000;106.99000;118.14000;87.63900;87.54900;87.46200;87.44100;87.45400;87.46000;87.43100;87.39400;99.51500;110.16000;119.68000;129.13000;999.37000;
1504335074;102.03000;103.68000;106.54000;118.18000;100.53000;103.02000;107.52000;118.36000;102.42000;104.13000;106.32000;119.21000;100.14000;102.67000;106.99000;118.14000;87.63900;87.54900;87.46200;87.44100;87.45400;87.46600;87.39300;87.40400;99.49500;110.15000;119.64000;129.10001;999.37000;
1504335077;102.03000;103.68000;106.54000;118.18000;100.53000;103.02000;107.52000;118.36000;102.42000;104.13000;106.32000;119.21000;100.14000;102.62000;106.98000;118.11000;87.63900;87.54900;87.46200;87.44100;87.45400;87.46600;87.39300;87.40400;99.49500;110.15000;119.64000;129.10001;999.37000;
1504335079;102.03000;103.68000;106.54000;118.18000;100.53000;103.02000;107.52000;118.36000;102.42000;104.13000;106.32000;119.21000;100.14000;102.62000;106.98000;118.11000;87.63900;87.54900;87.46200;87.44100;87.45400;87.46600;87.39300;87.40400;99.49500;110.15000;119.64000;129.10001;998.60999;
1504335090;102.04000;103.68000;106.53000;118.13000;100.49000;103.01000;107.50000;118.33000;102.39000;104.13000;106.30000;119.20000;100.14000;102.62000;106.98000;118.11000;87.61800;87.54900;87.46200;87.44100;87.45400;87.46600;87.39300;87.40400;99.49500;110.15000;119.64000;129.10001;998.60999;
1504335091;102.04000;103.68000;106.53000;118.13000;100.49000;103.01000;107.50000;118.33000;102.39000;104.13000;106.30000;119.20000;100.14000;102.62000;106.98000;118.11000;87.61800;87.54300;87.47900;87.45300;87.44000;87.44400;87.41400;87.38100;99.48100;110.14000;119.63000;129.10001;998.60999;
1504335094;102.04000;103.68000;106.53000;118.13000;100.49000;103.01000;107.50000;118.33000;102.39000;104.13000;106.30000;119.20000;100.12000;102.61000;106.95000;118.11000;87.61800;87.54300;87.47900;87.45300;87.44000;87.44400;87.41400;87.38100;99.48100;110.14000;119.63000;129.10001;998.60999;
1504335096;102.04000;103.68000;106.53000;118.13000;100.49000;103.01000;107.50000;118.33000;102.39000;104.13000;106.30000;119.20000;100.12000;102.61000;106.95000;118.09000;87.61800;87.54300;87.47900;87.45300;87.44000;87.44400;87.41400;87.38100;99.48100;110.14000;119.63000;129.10001;999.29999;
1504335107;102.03000;103.65000;106.52000;118.09000;100.48000;103.00000;107.50000;118.30000;102.39000;104.10000;106.28000;119.20000;100.12000;102.61000;106.95000;118.09000;87.61800;87.54300;87.47900;87.45300;87.44000;87.44400;87.41400;87.38100;99.48100;110.14000;119.63000;129.10001;999.29999;
